full_name,age,birthday,birthday_GMT,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Edyairth Alberto Ortega Alatorre,25,853977600,1997/01/23,Liga MX,2021/2022,Midfielder,Atlas,207,131,76,Mexico,7,4,3,0,0,0,1,1,0,0,0,2,2,0,3,1,2,0,0,0.43,0.43,0,0,0,0,1.3,69,30,0,207,0,-1,-1,-1,21
Efraín Orona Zavala,23,919641600,1999/02/22,Liga MX,2021/2022,Midfielder,Atlético San Luis,816,334,482,Mexico,16,8,8,1,1,0,0,0,0,0,0,5,2,3,10,5,5,0,0,0.11,0,0.11,0.27,0,816,1.1,82,51,0,0,0,142,398,-1,12
Efraín Velarde Calvillo,36,514166400,1986/04/18,Liga MX,2021/2022,Defender,Pumas UNAM,2368,916,1452,Mexico,29,11,18,0,0,0,1,1,0,0,0,9,6,3,32,9,23,6,0,0.04,0.04,0,0,0,0,1.22,74,82,395,2368,0.23,408,199,102,22
Elías Hernán Hernández Jacuinde,34,578275200,1988/04/29,Liga MX,2021/2022,Midfielder,León,1462,743,719,Mexico,32,16,16,5,0,5,0,0,0,0,0,9,3,6,12,6,6,0,0,0.31,0,0.31,0,0.63,292,0.74,122,46,0,0,0,46,311,-1,3
Emanuel Gularte Méndez,24,875577600,1997/09/30,Liga MX,2021/2022,Defender,Puebla,2580,1400,1180,Uruguay,33,19,14,1,0,1,0,0,0,0,0,9,4,5,28,15,13,8,0,0.03,0,0.03,0,0.08,2580,0.98,92,78,323,0,0.28,236,405,58,15
Emanuel Montejano Arroyo,20,994896000,2001/07/12,Liga MX,2021/2022,Forward,Pumas UNAM,173,117,56,Mexico,6,3,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,-1,-1,-1,28
Emiliano Pérez Espinoza,18,1056153600,2003/06/21,Liga MX,2021/2022,Goalkeeper,Necaxa,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Emilio Lara Contreras,19,1021680000,2002/05/18,Liga MX,2021/2022,Defender,América,90,90,0,Mexico,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,-1,-1,-1,19
Emilio Martínez González,19,1044144000,2003/02/02,Liga MX,2021/2022,Defender,Puebla,27,7,20,Mexico,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,-1,-1,-1,20
Emmanuel García Vaca,32,630806400,1989/12/28,Liga MX,2021/2022,Midfielder,Atlético San Luis,731,507,224,Mexico,13,7,6,0,0,0,0,0,0,0,0,2,1,1,14,11,3,2,0,0,0,0,0,0,0,1.72,52,56,366,0,0.25,400,396,-1,26
Emmanuel Gigliotti,34,548467200,1987/05/20,Liga MX,2021/2022,Forward,León,497,172,325,Argentina,18,9,9,1,1,0,0,0,0,0,1,7,4,3,5,0,5,5,1,0.18,0,0.18,0.52,0,497,0.91,99,28,99,0,0.91,100,310,-1,10
Enzo Gabriel Martínez Suárez,24,893808000,1998/04/29,Liga MX,2021/2022,Defender,Querétaro,1350,720,630,Uruguay,15,8,7,0,0,0,0,0,0,0,0,3,2,1,15,7,8,6,0,0,0,0,0,0,0,1,90,90,225,0,0.4,251,220,66,17
Erick Alejandro Ávalos Alejo,22,956275200,2000/04/21,Liga MX,2021/2022,Midfielder,Tigres UANL,146,0,146,Mexico,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1.23,73,73,0,0,0,-1,-1,-1,24
Erick Daniel Sánchez Ocegueda,22,932428800,1999/07/20,Liga MX,2021/2022,Forward,Pachuca,2843,1350,1493,Mexico,34,16,18,3,2,1,6,2,4,0,0,11,7,4,32,10,22,7,1,0.28,0.19,0.09,0.13,0.06,948,1.01,89,84,355,474,0.25,164,40,-1,6
Erick Germain Aguirre Tafolla,25,856656000,1997/02/23,Liga MX,2021/2022,Defender,Monterrey,1885,862,1023,Mexico,26,13,13,1,0,1,3,2,1,0,0,9,6,3,16,4,12,2,0,0.19,0.14,0.05,0,0.09,1885,0.76,118,73,943,628,0.1,213,79,15,14
Erick Leonel Castillo Arroyo,27,791942400,1995/02/05,Liga MX,2021/2022,Midfielder,Tijuana,598,251,347,Ecuador,12,6,6,1,0,1,0,0,0,0,0,2,1,1,11,4,7,1,0,0.15,0,0.15,0,0.26,598,1.66,54,50,598,0,0.15,115,363,-1,8
Erick Vera Franco,30,701395200,1992/03/24,Liga MX,2021/2022,Midfielder,Querétaro,2148,1033,1115,Mexico,28,13,15,1,1,0,0,0,0,0,0,7,5,2,25,11,14,2,0,0.04,0,0.04,0.09,0,2148,1.05,86,77,1074,0,0.08,221,328,-1,10
Erik Antonio Lira Méndez,22,957744000,2000/05/08,Liga MX,2021/2022,Midfielder,Cruz Azul,3066,1739,1327,Mexico,41,22,19,0,0,0,1,1,0,0,0,15,9,6,31,19,12,5,0,0.03,0.03,0,0,0,0,0.91,99,75,613,3066,0.15,405,218,-1,32
Ernesto Alexis Vega Rojas,24,880416000,1997/11/25,Liga MX,2021/2022,Forward,Guadalajara,2110,969,1141,Mexico,26,12,14,6,5,1,6,3,3,0,0,8,2,6,22,15,7,7,2,0.51,0.26,0.26,0.46,0.08,352,0.94,96,81,234,352,0.38,66,20,-1,3
Esteban Andrada,31,664848000,1991/01/26,Liga MX,2021/2022,Goalkeeper,Monterrey,3150,1530,1620,Argentina,35,17,18,0,0,0,1,1,0,0,0,13,10,3,29,9,20,5,0,0.03,0.03,0,0,0,0,0.83,109,90,630,3150,0.14,413,207,31,20
Esteban Andres Pavez Suazo,32,641520000,1990/05/01,Liga MX,2021/2022,Midfielder,Tijuana,1373,723,650,Chile,17,9,8,0,0,0,1,1,0,0,0,3,2,1,22,9,13,3,0,0.07,0.07,0,0,0,0,1.44,62,81,458,1373,0.2,360,163,-1,28
Esteban Lozano,19,1047254400,2003/03/10,Liga MX,2021/2022,Forward,América,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Ettson Ayon Calderón,21,985564800,2001/03/26,Liga MX,2021/2022,Forward,Tijuana,23,0,23,Mexico,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,-1,-1,-1,14
Everardo López,17,1111536000,2005/03/23,Liga MX,2021/2022,Defender,Toluca,53,0,53,Mexico,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,5.09,18,53,0,0,0,-1,-1,-1,31
Fabián Andrés Castillo Sánchez,29,708739200,1992/06/17,Liga MX,2021/2022,Midfielder,Juárez,1550,685,865,Colombia,26,11,15,0,0,0,2,1,1,0,0,5,2,3,23,10,13,1,0,0.12,0.12,0,0,0,0,1.34,67,60,1550,775,0.06,323,99,-1,23
Fabio Enrique Álvarez,29,727747200,1993/01/23,Liga MX,2021/2022,Forward,Pumas UNAM,2266,1288,978,Argentina,34,19,15,3,2,1,4,3,1,0,0,12,10,2,27,14,13,5,1,0.28,0.16,0.12,0.14,0.09,755,1.07,84,67,378,567,0.24,129,56,-1,7
Fabricio Orosmán Formiliano Duarte,29,726969600,1993/01/14,Liga MX,2021/2022,Defender,Necaxa,2520,1170,1350,Uruguay,29,13,16,0,0,0,0,0,0,0,0,9,5,4,32,16,16,8,0,0,0,0,0,0,0,1.14,79,87,315,0,0.29,387,286,89,20
Facundo Agustín Batista Ochoa,23,916444800,1999/01/16,Liga MX,2021/2022,Forward,Necaxa,361,210,151,Uruguay,18,10,8,1,1,0,0,0,0,0,0,4,2,2,7,4,3,1,0,0.25,0,0.25,0.43,0,361,1.75,52,20,361,0,0.25,71,270,-1,9
Facundo Federico Waller Martiarena,25,860544000,1997/04/09,Liga MX,2021/2022,Midfielder,Atlético San Luis,2340,1174,1166,Uruguay,32,15,17,3,1,2,2,0,2,0,0,8,4,4,32,15,17,12,0,0.19,0.08,0.12,0.08,0.15,780,1.23,73,73,195,1170,0.46,134,153,-1,6
Facundo Ferreyra,31,668908800,1991/03/14,Liga MX,2021/2022,Forward,Tijuana,646,384,262,Argentina,14,7,7,1,1,0,0,0,0,0,1,3,2,1,8,3,5,1,0,0.14,0,0.14,0.23,0,646,1.11,81,46,646,0,0.14,122,235,-1,11
Federico Andrés Mancuello,33,606873600,1989/03/26,Liga MX,2021/2022,Midfielder,Puebla,1056,471,585,Argentina,17,9,8,0,0,0,3,1,2,0,0,3,1,2,10,3,7,1,0,0.26,0.26,0,0,0,0,0.85,106,62,1056,352,0.09,258,21,-1,27
Federico Andrés Martínez Berroa,26,825465600,1996/02/28,Liga MX,2021/2022,Midfielder,León,550,301,249,Uruguay,13,7,6,0,0,0,1,0,1,0,0,3,1,2,9,6,3,3,1,0.16,0.16,0,0,0,0,1.47,61,42,138,550,0.65,257,64,-1,17
Federico Sebastián Viñas Barboza,23,899164800,1998/06/30,Liga MX,2021/2022,Forward,América,1486,719,767,Uruguay,30,16,14,2,1,1,0,0,0,0,0,15,10,5,12,3,9,3,1,0.12,0,0.12,0.13,0.12,743,0.73,124,50,372,0,0.24,135,265,-1,9
Felix Eduardo Torres Caicedo,25,852940800,1997/01/11,Liga MX,2021/2022,Midfielder,Santos Laguna,2955,1620,1335,Ecuador,34,18,16,3,3,0,0,0,0,0,0,9,6,3,35,18,17,8,1,0.09,0,0.09,0.17,0,985,1.07,84,87,328,0,0.27,173,344,-1,6
Fernando Antonio Álvarez Amador,18,1061683200,2003/08/24,Liga MX,2021/2022,Midfielder,Pachuca,0,0,0,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Fernando David Arce Juárez,25,849052800,1996/11/27,Liga MX,2021/2022,Midfielder,Juárez,1164,630,534,USA,17,8,9,4,3,1,0,0,0,0,0,6,2,4,20,12,8,6,2,0.31,0,0.31,0.43,0.17,291,1.55,58,68,146,0,0.62,50,341,-1,1
Fernando Gorriarán Fontes,27,785894400,1994/11/27,Liga MX,2021/2022,Midfielder,Santos Laguna,2881,1501,1380,Uruguay,35,18,17,6,2,4,4,3,1,4,1,9,6,3,35,16,19,5,0,0.31,0.12,0.19,0.12,0.26,480,1.09,82,82,576,720,0.16,96,103,-1,2
Fernando José Marques Maciel,24,869270400,1997/07/19,Liga MX,2021/2022,Forward,Juárez,116,44,72,Brazil,3,1,2,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0.78,0.78,0,0,0,0,0.78,116,39,116,116,0.78,-1,-1,-1,22
Fernando Luis Aristeguieta de Luca,30,702777600,1992/04/09,Liga MX,2021/2022,Forward,Puebla,1710,762,948,Venezuela,32,15,17,9,3,6,0,0,0,2,0,9,4,5,21,7,14,7,0,0.47,0,0.47,0.35,0.57,190,1.11,81,53,244,0,0.37,15,386,-1,1
Fernando Madrigal González,30,689904000,1991/11/12,Liga MX,2021/2022,Midfielder,Necaxa,1945,845,1100,Mexico,31,14,17,1,1,0,3,3,0,0,0,12,6,6,18,9,9,5,0,0.19,0.14,0.05,0.11,0,1945,0.83,108,63,389,648,0.23,218,81,-1,10
Fernando Morales,21,981936000,2001/02/12,Liga MX,2021/2022,Midfielder,León,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Fernando Navarro Morán,33,608860800,1989/04/18,Liga MX,2021/2022,Defender,Pachuca,463,266,197,Mexico,22,10,12,0,0,0,5,3,2,0,0,8,5,3,6,1,5,1,0,0.97,0.97,0,0,0,0,1.17,77,21,463,93,0.19,247,1,94,15
Fernando Nicolás Meza,32,637977600,1990/03/21,Liga MX,2021/2022,Defender,Necaxa,705,297,408,Argentina,12,6,6,0,0,0,0,0,0,0,0,4,3,1,8,2,6,3,0,0,0,0,0,0,0,1.02,88,59,235,0,0.38,346,340,72,23
Fernando Rubén González Pineda,28,759628800,1994/01/27,Liga MX,2021/2022,Midfielder,Necaxa,2802,1359,1443,Mexico,35,17,18,0,0,0,0,0,0,0,0,10,5,5,34,17,17,4,0,0,0,0,0,0,0,1.09,82,80,701,0,0.13,344,338,-1,24
Fernando Tapia Méndez,20,992736000,2001/06/17,Liga MX,2021/2022,Goalkeeper,América,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Fernandoz Beltrán Cru,25,831513600,1996/05/08,Liga MX,2021/2022,Midfielder,Guadalajara,1792,868,924,Mexico,30,15,15,2,1,1,2,0,2,0,0,10,5,5,19,11,8,2,0,0.2,0.1,0.1,0.1,0.1,896,0.95,94,60,896,896,0.1,160,122,-1,8
Fidel Ambríz,19,1048204800,2003/03/21,Liga MX,2021/2022,Midfielder,León,988,378,610,Mexico,25,12,13,0,0,0,0,0,0,0,0,10,3,7,15,6,9,2,0,0,0,0,0,0,0,1.37,66,40,494,0,0.18,319,309,-1,24
Fidel Francisco Martínez Tenorio,32,635040000,1990/02/15,Liga MX,2021/2022,Midfielder,Querétaro,624,459,165,Ecuador,17,11,6,1,0,1,1,0,1,1,0,3,2,1,6,4,2,2,0,0.29,0.14,0.14,0,0.55,624,0.87,104,37,312,624,0.29,120,82,-1,8
Flavio De Jesús Santos Carrillo,35,541555200,1987/03/01,Liga MX,2021/2022,Forward,Juárez,1391,727,664,Mexico,30,16,14,1,1,0,0,0,0,0,0,6,3,3,22,12,10,2,0,0.06,0,0.06,0.12,0,1391,1.42,63,46,696,0,0.13,203,318,-1,10
Florian Thauvin,29,728006400,1993/01/26,Liga MX,2021/2022,Midfielder,Tigres UANL,1596,814,782,France,28,16,12,5,3,2,3,1,2,0,0,8,6,2,18,9,9,4,1,0.45,0.17,0.28,0.33,0.23,319,1.02,89,57,319,532,0.28,59,51,-1,5
Francisco Antonio Figueroa Díaz,22,929232000,1999/06/13,Liga MX,2021/2022,Midfielder,Querétaro,396,143,253,Mexico,11,5,6,0,0,0,1,1,0,0,0,2,1,1,5,3,2,0,0,0.23,0.23,0,0,0,0,1.14,79,36,0,396,0,312,28,-1,39
Francisco Contreras Baez,22,929404800,1999/06/15,Liga MX,2021/2022,Forward,Juárez,513,269,244,Mexico,14,9,5,0,0,0,0,0,0,0,0,3,2,1,8,5,3,0,0,0,0,0,0,0,0,1.4,64,37,0,0,0,296,290,-1,35
Francisco Eduardo Venegas Moreno,23,900547200,1998/07/16,Liga MX,2021/2022,Defender,Tigres UANL,172,57,115,Mexico,6,2,4,0,0,0,0,0,0,0,0,3,1,2,3,1,2,0,0,0,0,0,0,0,0,1.57,57,29,0,0,0,-1,-1,-1,27
Francisco Guillermo Ochoa Magaña,36,490060800,1985/07/13,Liga MX,2021/2022,Goalkeeper,América,3330,1620,1710,Mexico,37,18,19,0,0,0,0,0,0,0,0,17,10,7,32,13,19,1,0,0,0,0,0,0,0,0.86,104,90,3330,0,0.03,277,248,36,15
Francisco Javier Nevarez Pulgarin,21,975801600,2000/12/03,Liga MX,2021/2022,Midfielder,Juárez,64,0,64,Mexico,2,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4.22,21,32,0,0,0,-1,-1,-1,27
Francisco Sebastián Córdova Reyes,24,866073600,1997/06/12,Liga MX,2021/2022,Midfielder,Tigres UANL,1303,654,649,Mexico,29,14,15,4,3,1,2,0,2,1,0,12,8,4,12,4,8,1,0,0.41,0.14,0.28,0.41,0.14,326,0.83,109,45,1303,652,0.07,58,75,-1,7
Franco Nicolás Pizzichillo Fernández,26,820627200,1996/01/03,Liga MX,2021/2022,Midfielder,Santos Laguna,28,7,21,Uruguay,3,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,-1,-1,-1,29
Franco Troyansky,25,857606400,1997/03/06,Liga MX,2021/2022,Forward,Atlas,503,226,277,Argentina,20,8,12,0,0,0,0,0,0,0,0,10,4,6,3,1,2,4,0,0,0,0,0,0,0,0.54,168,25,126,0,0.72,410,417,-1,15
Gabriel Arturo Torres Tejada,33,594259200,1988/10/31,Liga MX,2021/2022,Forward,Pumas UNAM,315,126,189,Panama,8,4,4,0,0,0,0,0,0,0,0,3,3,0,4,1,3,1,0,0,0,0,0,0,0,1.14,79,39,315,0,0.29,407,389,-1,29
Gabriel Martínez Fregoso,19,1027468800,2002/07/24,Liga MX,2021/2022,Defender,Guadalajara,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Gabriel Matías Fernández Leites,27,768787200,1994/05/13,Liga MX,2021/2022,Forward,Juárez,1134,705,429,Uruguay,15,9,6,4,1,3,1,1,0,2,0,2,1,1,21,14,7,2,0,0.4,0.08,0.32,0.13,0.63,284,1.67,54,76,567,1134,0.16,44,154,-1,3
Gaddi Axel Aguirre Ledesma,26,828230400,1996/03/31,Liga MX,2021/2022,Defender,Atlas,1064,501,563,Mexico,18,10,8,0,0,0,0,0,0,0,0,6,3,3,16,7,9,7,0,0,0,0,0,0,0,1.35,67,59,152,0,0.59,411,416,122,18
Gary Christofer Kagelmacher Pérez,34,577584000,1988/04/21,Liga MX,2021/2022,Defender,León,502,195,307,Uruguay,7,3,4,0,0,0,0,0,0,0,0,1,0,1,8,4,4,2,0,0,0,0,0,0,0,1.43,63,72,251,0,0.36,260,229,131,29
Geisson Alexander Perea Ocoró,30,681436800,1991/08/06,Liga MX,2021/2022,Defender,Pachuca,109,32,77,Colombia,2,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0.83,109,55,109,0,0.83,-1,-1,-1,18
George Ulises Corral Ang,31,648259200,1990/07/18,Liga MX,2021/2022,Defender,Puebla,1865,843,1022,Mexico,32,15,17,2,2,0,3,1,2,2,0,9,3,6,22,12,10,3,1,0.24,0.14,0.1,0.21,0,933,1.06,85,58,466,622,0.19,156,84,74,7
Gerardo Moreno Cruz,28,754531200,1993/11/29,Liga MX,2021/2022,Midfielder,Pumas UNAM,90,0,90,Mexico,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,2,45,90,90,0,1,-1,-1,-1,25
Germán Berterame,23,910915200,1998/11/13,Liga MX,2021/2022,Forward,Atlético San Luis,3219,1468,1751,Argentina,37,17,20,17,9,8,5,2,3,5,2,9,4,5,46,23,23,5,1,0.62,0.14,0.48,0.55,0.41,189,1.29,70,87,537,644,0.17,13,85,-1,1
Gerson Vázquez,20,1005523200,2001/11/12,Liga MX,2021/2022,Forward,Tijuana,35,12,23,Mexico,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,5.14,18,18,0,0,0,-1,-1,-1,12
Gil Esaul Alcalá Barba,29,712368000,1992/07/29,Liga MX,2021/2022,Goalkeeper,Tijuana,538,224,314,Mexico,7,3,4,0,0,0,0,0,0,0,0,2,1,1,11,4,7,1,0,0,0,0,0,0,0,1.84,49,77,538,0,0.17,366,367,148,21
Gil Giovanni Burón Morales,27,771292800,1994/06/11,Liga MX,2021/2022,Defender,León,37,29,8,Mexico,5,2,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,37,0,2.43,-1,-1,-1,19
Gilberto García Roa,21,966643200,2000/08/19,Liga MX,2021/2022,Midfielder,Guadalajara,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Gilberto Sepúlveda López,23,918086400,1999/02/04,Liga MX,2021/2022,Defender,Guadalajara,1915,1004,911,Mexico,26,13,13,1,1,0,0,0,0,0,0,9,3,6,21,12,9,8,1,0.05,0,0.05,0.09,0,1915,0.99,91,74,239,0,0.38,217,279,60,14
Giovanni Augusto Oliveira Cardoso,32,620956800,1989/09/05,Liga MX,2021/2022,Midfielder,Mazatlán,715,416,299,Brazil,14,8,6,2,2,0,0,0,0,1,0,2,1,1,11,6,5,0,0,0.25,0,0.25,0.43,0,358,1.38,65,51,0,0,0,72,383,-1,8
Gonzalo Ariel Sosa,33,599875200,1989/01/04,Liga MX,2021/2022,Forward,Mazatlán,954,495,459,Argentina,15,7,8,4,2,2,1,1,0,0,0,3,3,0,10,4,6,2,1,0.47,0.09,0.38,0.36,0.39,239,0.94,95,64,318,954,0.28,29,136,-1,2
Gonzalo Gastón Freitas Silva,30,686361600,1991/10/02,Liga MX,2021/2022,Midfielder,Mazatlán,1381,742,639,Uruguay,20,10,10,0,0,0,0,0,0,0,0,3,1,2,21,10,11,8,1,0,0,0,0,0,0,1.37,66,69,173,0,0.52,381,380,-1,28
Gonzalo Maroni,23,921715200,1999/03/18,Liga MX,2021/2022,Midfielder,Atlas,167,132,35,Argentina,10,5,5,0,0,0,1,1,0,0,0,5,2,3,1,1,0,0,0,0.54,0.54,0,0,0,0,0.54,167,17,0,167,0,-1,-1,-1,16
Guido Pizarro,32,635990400,1990/02/26,Liga MX,2021/2022,Midfielder,Tigres UANL,2834,1428,1406,Argentina,33,17,16,2,0,2,2,2,0,0,0,12,8,4,24,10,14,6,2,0.13,0.06,0.06,0,0.13,1417,0.76,118,86,405,1417,0.22,211,174,-1,9
Guillermo Martínez Ayala,27,795225600,1995/03/15,Liga MX,2021/2022,Forward,Puebla,1539,895,644,Mexico,38,21,17,5,1,4,1,1,0,0,0,9,4,5,16,10,6,4,0,0.35,0.06,0.29,0.1,0.56,308,0.94,96,41,385,1539,0.23,57,173,-1,2
Guillermo Matías Fernández,30,687139200,1991/10/11,Liga MX,2021/2022,Midfielder,Cruz Azul,1125,726,399,Argentina,15,9,6,0,0,0,1,0,1,0,1,5,2,3,12,9,3,4,0,0.08,0.08,0,0,0,0,0.96,94,75,281,1125,0.32,375,146,-1,28
Gustavo Cabral,36,498096000,1985/10/14,Liga MX,2021/2022,Defender,Pachuca,3024,1620,1404,Argentina,35,18,17,3,2,1,0,0,0,0,0,11,7,4,32,13,19,6,0,0.09,0,0.09,0.11,0.06,1008,0.95,95,86,504,0,0.18,167,385,49,7
Gustavo Guadalupe Gutiérrez Muñoz,25,846806400,1996/11/01,Liga MX,2021/2022,Goalkeeper,Toluca,953,360,593,Mexico,11,4,7,0,0,0,0,0,0,0,0,2,1,1,19,5,14,1,0,0,0,0,0,0,0,1.79,50,87,953,0,0.09,281,257,147,16
Gustavo Henrique Ferrareis,26,820540800,1996/01/02,Liga MX,2021/2022,Midfielder,Puebla,2760,1583,1177,Brazil,39,21,18,0,0,0,3,3,0,0,0,10,4,6,31,19,12,10,1,0.1,0.1,0,0,0,0,1.01,89,71,251,920,0.36,406,127,-1,16
Harold Fabián Preciado Villarreal,27,770428800,1994/06/01,Liga MX,2021/2022,Forward,Santos Laguna,1158,540,618,Colombia,14,6,8,6,4,2,1,0,1,0,0,2,1,1,15,8,7,3,0,0.54,0.08,0.47,0.67,0.29,193,1.17,77,83,386,1158,0.23,14,149,-1,1
Hárold Santiago Mosquera Caicedo,27,792115200,1995/02/07,Liga MX,2021/2022,Forward,Pachuca,275,211,64,Colombia,12,7,5,0,0,0,0,0,0,0,0,2,2,0,6,3,3,0,0,0,0,0,0,0,0,1.96,46,23,0,0,0,314,305,-1,25
Héctor Alejandro Mascorro López,24,863395200,1997/05/12,Liga MX,2021/2022,Midfielder,Atlético San Luis,0,0,0,Mexico,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,24
Héctor Alfredo Moreno Herrera,34,569376000,1988/01/17,Liga MX,2021/2022,Defender,Monterrey,1691,759,932,Mexico,23,11,12,0,0,0,0,0,0,0,0,8,6,2,15,5,10,5,0,0,0,0,0,0,0,0.8,113,74,338,0,0.27,287,278,29,17
Héctor Hipólito Holguín Pérez,21,988070400,2001/04/24,Liga MX,2021/2022,Goalkeeper,Santos Laguna,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Héctor Yael Uribe Guevara,17,1086307200,2004/06/04,Liga MX,2021/2022,Midfielder,León,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Hedgardo Marín Arroyo,29,730252800,1993/02/21,Liga MX,2021/2022,Defender,Juárez,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Henry Josué Martín Mex,29,722044800,1992/11/18,Liga MX,2021/2022,Midfielder,América,1734,740,994,Mexico,34,16,18,6,4,2,3,2,1,0,0,15,9,6,21,7,14,2,0,0.47,0.16,0.31,0.49,0.18,289,1.09,83,51,867,578,0.1,47,60,-1,4
Heriberto De Jesus Jurado Flores,17,1104710400,2005/01/03,Liga MX,2021/2022,Midfielder,Necaxa,828,466,362,Mexico,17,8,9,1,1,0,1,0,1,0,0,3,1,2,11,7,4,2,1,0.22,0.11,0.11,0.19,0,828,1.2,75,49,276,828,0.33,154,116,-1,7
Higor Matheus Meritão,27,772329600,1994/06/23,Liga MX,2021/2022,Midfielder,Pumas UNAM,2346,1132,1214,Brazil,35,18,17,2,1,1,2,1,1,0,0,14,10,4,27,11,16,9,0,0.15,0.08,0.08,0.08,0.07,1173,1.04,87,67,261,1173,0.35,183,155,-1,8
Hiram Ricardo Mier Alanis,32,620006400,1989/08/25,Liga MX,2021/2022,Defender,Guadalajara,1692,860,832,Mexico,22,11,11,0,0,0,0,0,0,0,0,8,3,5,16,12,4,2,1,0,0,0,0,0,0,0.85,106,77,564,0,0.16,279,259,33,16
Hugo Alfonso González Durán,31,649468800,1990/08/01,Liga MX,2021/2022,Goalkeeper,Juárez,2629,1350,1279,Mexico,30,15,15,0,0,0,0,0,0,0,0,6,3,3,41,21,20,2,0,0,0,0,0,0,0,1.4,64,88,1315,0,0.07,292,226,129,30
Hugo Ayala Castro,35,544147200,1987/03/31,Liga MX,2021/2022,Defender,Tigres UANL,1550,590,960,Mexico,21,8,13,0,0,0,0,0,0,0,0,8,3,5,16,6,10,4,1,0,0,0,0,0,0,0.93,97,74,310,0,0.29,368,369,44,21
Hugo Isaac Rodríguez De La O,31,644803200,1990/06/08,Liga MX,2021/2022,Defender,Santos Laguna,869,386,483,Mexico,14,7,7,0,0,0,0,0,0,0,0,2,2,0,11,4,7,1,1,0,0,0,0,0,0,1.14,79,62,435,0,0.21,350,347,88,24
